,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
155,Dru Smith,MIA,14,19.2,8,6,1.5,0.4,1.7,0.6,0.9,61.5
156,Duncan Robinson,MIA,67,24.5,28,39,0.6,0.1,2.1,1.5,1.9,78.5
157,Duop Reath,POR,40,9.7,17,23,0.3,0.3,1.1,1.0,1.8,56.9
158,Dwight Powell,DAL,46,9.7,21,25,0.3,0.5,1.3,1.0,1.8,56.0
159,Dyson Daniels,ATL,65,33.9,32,33,3.0,0.7,4.1,2.7,3.9,70.0
160,E.J. Liddell,CHI,7,4.7,2,5,0.1,0.1,0.6,1.0,1.3,77.8
161,Elfrid Payton,NOP,14,19.9,1,13,1.1,0.4,2.2,0.9,1.7,50.0
162,Elijah Harkless,UTA,9,13.3,1,8,1.0,0.1,1.3,0.8,0.9,87.5
163,Emanuel Miller,CHI,1,2.4,0,1,0.0,0.0,0.0,0.0,0.0,0.0
164,Emoni Bates,CLE,7,3.9,7,0,0.1,0.0,0.0,0.0,0.0,0.0
165,Enrique Freeman,IND,20,7.0,6,14,0.1,0.1,0.7,0.8,1.2,62.5
166,Eric Gordon,PHI,39,19.7,12,27,0.7,0.3,1.0,0.7,0.8,81.8
167,Evan Mobley,CLE,63,30.2,52,11,0.8,1.5,7.0,3.4,6.0,56.8
168,Franz Wagner,ORL,50,33.5,25,25,1.3,0.4,4.7,1.4,2.1,66.0
169,Fred VanVleet,HOU,53,35.3,36,17,1.6,0.4,3.4,1.6,2.2,72.2
170,GG Jackson,MEM,25,16.3,16,9,0.4,0.2,2.3,0.7,1.3,56.3
171,Gabe Vincent,LAL,60,21.3,39,21,0.7,0.2,1.0,0.8,1.3,65.3
172,Garrett Temple,TOR,25,7.3,10,15,0.6,0.1,0.8,0.4,0.7,61.1
173,Garrison Mathews,ATL,45,17.5,20,25,0.6,0.3,1.6,1.1,1.6,71.8
174,Gary Harris,ORL,36,15.4,19,17,0.6,0.3,0.9,0.9,1.2,78.6
175,Gary Payton II,GSW,55,14.7,33,22,0.7,0.3,2.0,0.7,1.2,57.6
176,Gary Trent Jr.,MIL,63,25.1,37,26,1.0,0.1,2.0,0.8,1.2,70.3
177,Georges Niang,ATL,68,21.8,50,18,0.4,0.2,3.0,1.7,2.4,70.6
178,Giannis Antetokounmpo,MIL,57,33.9,34,23,0.8,1.3,9.7,2.2,3.8,57.5
179,Goga Bitadze,ORL,59,21.3,30,29,0.7,1.6,4.4,2.3,4.0,58.5
180,Gradey Dick,TOR,54,29.4,15,39,0.9,0.2,2.8,1.7,2.3,75.0
181,Grant Williams,CHA,16,29.9,6,10,1.1,0.8,4.0,3.1,5.1,61.0
182,Grayson Allen,PHX,53,24.8,27,26,0.9,0.4,2.6,1.3,1.8,73.4
183,Guerschon Yabusele,PHI,65,26.7,23,42,0.8,0.3,3.7,3.6,5.0,72.1
184,Gui Santos,GSW,44,13.1,28,16,0.4,0.2,1.9,1.0,1.6,61.4
185,Harrison Barnes,SAS,70,27.1,31,39,0.3,0.2,2.5,1.7,2.4,69.9
186,Harrison Ingram,SAS,3,5.8,0,3,0.3,0.0,1.3,0.0,0.0,0.0
187,Haywood Highsmith,MIA,62,24.3,28,34,1.0,0.6,2.3,1.4,2.2,61.2
188,Herbert Jones,NOP,20,32.4,5,15,1.9,0.5,2.8,2.2,3.1,69.4
189,Hunter Tyson,DEN,46,7.7,28,18,0.2,0.1,1.1,0.6,0.9,70.7
190,Immanuel Quickley,TOR,28,28.5,9,19,0.7,0.1,3.2,1.4,2.1,67.8
191,Isaac Jones,SAC,31,8.3,14,17,0.1,0.3,0.9,0.9,1.6,58.0
192,Isaac Okoro,CLE,45,18.7,37,8,0.6,0.4,1.3,0.9,1.3,70.7
