Player	Team	GP	MIN	W	L	STL	BLK	DREB	DFGM	DFGA	DFG%
Trey Lyles	SAC	57	18.6	28	29	0.6	0.4	3.4	1.6	2.4	66.9
Trey Murphy III	NOP	52	35.1	14	38	1.1	0.7	4.2	2.9	4.1	71.6
Tristan Thompson	CLE	36	7.1	30	6	0.0	0.2	2.1	0.7	1.1	61.0
Tristan Vukcevic	WAS	25	11.2	4	21	0.4	0.5	2.5	1.8	2.6	68.2
Tristan da Silva	ORL	66	22.8	30	36	0.4	0.2	2.4	1.5	2.3	64.9
Tristen Newton	MIN	8	2.0	2	6	0.1	0.0	0.3	0.0	0.1	0.0
Ty Jerome	CLE	66	19.7	53	13	1.2	0.0	1.8	0.9	1.1	84.3
TyTy Washington Jr.	PHX	13	7.9	3	10	0.2	0.0	0.6	0.5	0.6	75.0
Tyler Herro	MIA	67	35.6	30	37	0.9	0.2	4.8	1.7	2.6	68.0
Tyler Kolek	NYK	34	5.2	22	12	0.3	0.0	0.4	0.2	0.2	75.0
Tyler Smith	MIL	19	4.6	10	9	0.1	0.2	0.8	0.5	0.8	60.0
Tyrese Haliburton	IND	63	33.9	38	25	1.5	0.6	3.0	1.6	2.3	69.0
Tyrese Martin	BKN	52	21.7	14	38	0.6	0.1	2.6	1.3	2.0	65.7
Tyrese Maxey	PHI	52	37.7	20	32	1.8	0.4	3.1	1.2	1.6	73.2
Tyus Jones	PHX	70	27.9	34	36	0.9	0.1	1.9	0.9	1.1	82.9
Ulrich Chomche	TOR	7	4.6	3	4	0.0	0.1	0.6	0.6	0.9	66.7
Vasilije Micić	PHX	38	20.3	8	30	0.4	0.0	1.8	1.1	1.3	82.0
Victor Wembanyama	SAS	46	33.2	21	25	1.1	3.8	9.2	4.1	8.1	50.0
Vince Williams Jr.	MEM	19	18.6	7	12	0.6	0.3	2.8	1.8	2.2	83.3
Vlatko Čančar	DEN	10	9.4	2	8	0.1	0.1	2.0	0.6	1.0	60.0
Vít Krejčí	ATL	46	20.6	23	23	0.7	0.5	2.2	1.5	2.2	68.7
Walker Kessler	UTA	54	30.1	14	40	0.6	2.4	7.7	4.1	7.4	55.2
Wendell Carter Jr.	ORL	57	25.8	23	34	0.7	0.5	5.3	2.3	3.9	58.5
Wendell Moore Jr.	CHA	31	13.3	10	21	0.5	0.1	1.8	1.0	1.2	83.3
Xavier Tillman	BOS	29	7.1	23	6	0.3	0.2	1.0	0.7	1.0	70.0
Yuki Kawamura	MEM	20	3.2	16	4	0.1	0.0	0.4	0.3	0.3	83.3
Yuri Collins	GSW	2	8.2	2	0	1.0	0.0	0.5	1.0	1.0	100
Yves Missi	NOP	65	26.9	17	48	0.5	1.4	4.6	3.9	6.4	61.5
Zaccharie Risacher	ATL	63	24.7	32	31	0.8	0.5	2.5	2.1	3.0	70.6
Zach Collins	CHI	52	14.9	25	27	0.5	0.5	2.5	1.7	2.9	57.0
Zach Edey	MEM	56	20.6	31	25	0.5	1.3	4.1	2.5	4.4	57.5
Zach LaVine	SAC	62	34.8	27	35	0.9	0.2	4.2	1.8	2.2	80.1
Zeke Nnaji	DEN	51	10.4	34	17	0.4	0.6	1.0	1.3	2.2	56.1
Ziaire Williams	BKN	54	24.8	19	35	1.0	0.4	3.7	1.5	2.3	64.8
Zion Williamson	NOP	29	28.6	10	19	1.2	0.9	4.8	1.6	2.5	63.9
Zyon Pullin	MEM	3	0.9	1	2	0.0	0.0	0.0	0.3	0.3	100
