Player	Team	GP	MIN	W	L	STL	BLK	DREB	DFGM	DFGA	DFG%
Gradey Dick	TOR	54	29.4	15	39	0.9	0.2	2.8	1.7	2.3	75.0
Grant Williams	CHA	16	29.9	6	10	1.1	0.8	4.0	3.1	5.1	61.0
Grayson Allen	PHX	53	24.8	27	26	0.9	0.4	2.6	1.3	1.8	73.4
Guerschon Yabusele	PHI	65	26.7	23	42	0.8	0.3	3.7	3.6	5.0	72.1
Gui Santos	GSW	44	13.1	28	16	0.4	0.2	1.9	1.0	1.6	61.4
Harrison Barnes	SAS	70	27.1	31	39	0.3	0.2	2.5	1.7	2.4	69.9
Harrison Ingram	SAS	3	5.8	0	3	0.3	0.0	1.3	0.0	0.0	0.0
Haywood Highsmith	MIA	62	24.3	28	34	1.0	0.6	2.3	1.4	2.2	61.2
Herbert Jones	NOP	20	32.4	5	15	1.9	0.5	2.8	2.2	3.1	69.4
Hunter Tyson	DEN	46	7.7	28	18	0.2	0.1	1.1	0.6	0.9	70.7
Immanuel Quickley	TOR	28	28.5	9	19	0.7	0.1	3.2	1.4	2.1	67.8
Isaac Jones	SAC	31	8.3	14	17	0.1	0.3	0.9	0.9	1.6	58.0
Isaac Okoro	CLE	45	18.7	37	8	0.6	0.4	1.3	0.9	1.3	70.7
Isaiah Collier	UTA	63	25.3	14	49	0.9	0.2	2.9	1.1	1.4	80.0
Isaiah Crawford	SAC	11	3.4	6	5	0.1	0.1	0.6	0.1	0.3	33.3
Isaiah Hartenstein	OKC	49	28.3	43	6	0.8	1.1	8.1	3.0	5.2	57.6
Isaiah Jackson	IND	5	16.8	1	4	0.6	1.6	3.4	2.8	5.8	48.3
Isaiah Joe	OKC	64	21.1	54	10	0.6	0.1	2.0	1.0	1.4	70.5
Isaiah Stewart	DET	65	19.8	35	30	0.4	1.4	3.7	2.0	4.3	46.5
Isaiah Wong	CHA	20	13.3	2	18	0.6	0.0	0.9	0.6	0.8	75.0
Ivica Zubac	LAC	69	32.7	40	29	0.7	1.2	8.8	3.8	6.8	55.8
JD Davison	BOS	11	4.6	10	1	0.3	0.0	0.5	0.5	0.6	71.4
JT Thor	WAS	12	7.3	8	4	0.4	0.3	0.5	0.2	0.3	66.7
Ja Morant	MEM	43	30.0	28	15	1.2	0.3	3.5	1.5	2.1	71.1
Ja'Kobe Walter	TOR	45	20.1	15	30	0.7	0.2	1.8	1.6	2.2	74.2
Jabari Smith Jr.	HOU	49	30.4	33	16	0.4	0.8	4.8	2.3	4.1	55.4
Jabari Walker	POR	51	11.7	19	32	0.5	0.1	2.5	1.1	1.6	69.1
Jack McVeigh	HOU	7	4.1	5	2	0.0	0.1	0.4	0.3	0.6	50.0
Jackson Rowe	GSW	5	8.5	3	2	0.6	0.0	1.6	0.6	0.6	100
Jacob Toppin	ATL	16	3.0	12	4	0.1	0.0	0.6	0.0	0.1	0.0
Jaden Hardy	DAL	48	15.2	25	23	0.5	0.1	1.4	0.6	1.0	63.0
Jaden Ivey	DET	30	29.9	14	16	0.9	0.4	2.8	1.4	1.9	73.7
Jaden McDaniels	MIN	72	32.2	41	31	1.4	0.9	4.3	2.3	3.8	61.3
Jaden Springer	UTA	33	6.2	20	13	0.4	0.1	0.7	0.2	0.3	63.6
Jae Crowder	SAC	7	13.1	2	5	0.4	0.0	1.6	0.9	1.1	75.0
Jae'Sean Tate	HOU	46	11.4	33	13	0.5	0.1	1.3	0.7	1.1	65.3
Jahlil Okafor	IND	1	3.4	0	1	0.0	0.0	1.0	0.0	0.0	0.0
Jahmir Young	CHI	1	2.4	0	1	0.0	0.0	1.0	0.0	0.0	0.0
Jaime Jaquez Jr.	MIA	58	21.7	26	32	1.0	0.2	3.2	1.4	2.2	65.4
Jake LaRavia	SAC	64	20.5	40	24	0.9	0.4	2.6	1.6	2.2	74.3
Jakob Poeltl	TOR	52	29.9	19	33	1.2	1.2	6.3	3.8	6.2	60.9
Jalen Bridges	PHX	5	5.0	0	5	0.0	0.0	0.6	0.2	0.2	100
Jalen Brunson	NYK	61	35.4	39	22	1.0	0.1	2.6	1.7	2.2	75.0
Jalen Duren	DET	68	25.9	39	29	0.7	1.2	6.8	3.1	5.1	62.2
Jalen Green	HOU	71	33.6	45	26	0.9	0.3	4.0	1.9	2.9	67.3
Jalen Hood-Schifino	PHI	7	19.4	3	4	0.4	0.7	1.4	1.6	1.9	84.6
Jalen Johnson	ATL	36	35.7	18	18	1.6	1.0	8.3	3.1	4.9	62.9
Jalen McDaniels	WAS	4	1.8	2	2	0.3	0.0	0.0	0.3	0.3	100
Jalen Pickett	DEN	39	11.4	26	13	0.4	0.1	0.9	0.5	0.7	66.7
Jalen Smith	CHI	57	15.0	23	34	0.3	0.7	4.2	1.8	3.2	57.5
Jalen Suggs	ORL	35	28.6	20	15	1.5	0.9	3.4	1.9	2.9	66.7
Jalen Williams	OKC	60	32.5	48	12	1.7	0.7	4.7	1.5	2.8	55.8
Jalen Wilson	BKN	69	25.7	22	47	0.5	0.0	2.3	1.5	2.0	75.6
Jamal Cain	NOP	27	11.6	4	23	0.4	0.3	1.3	0.9	1.4	62.2
Jamal Murray	DEN	63	36.4	38	25	1.4	0.5	3.1	2.5	3.6	67.7
Jamal Shead	TOR	64	18.4	23	41	0.6	0.1	1.0	0.7	0.9	76.3
Jamaree Bouyea	MIL	1	4.6	1	0	1.0	0.0	0.0	0.0	0.0	0.0
James Harden	LAC	68	35.1	40	28	1.5	0.7	5.1	2.0	2.7	74.1
James Johnson	IND	12	3.1	5	7	0.0	0.2	0.5	0.1	0.3	33.3
James Wiseman	IND	1	4.6	1	0	0.0	0.0	1.0	2.0	2.0	100
Jamison Battle	TOR	47	15.1	15	32	0.2	0.2	1.6	1.1	1.7	66.3
Jarace Walker	IND	62	15.5	36	26	0.8	0.3	2.5	1.0	1.3	79.5
Jared Butler	PHI	49	14.9	5	44	0.5	0.2	1.3	0.7	1.1	63.0
Jared McCain	PHI	23	25.7	7	16	0.7	0.0	1.9	2.3	2.7	85.2
Jared Rhoden	TOR	9	14.4	6	3	0.8	0.1	1.9	1.2	1.4	84.6
Jaren Jackson Jr.	MEM	64	29.5	38	26	1.3	1.6	4.5	2.5	4.7	54.2
Jarred Vanderbilt	LAL	24	16.2	18	6	1.0	0.3	3.2	1.5	2.0	74.5
Jarrett Allen	CLE	71	28.6	57	14	1.0	1.0	7.4	3.0	5.8	52.3
Javonte Green	CLE	58	20.0	17	41	1.0	0.5	2.4	1.2	2.1	59.2
Jaxson Hayes	LAL	45	19.8	31	14	0.6	1.0	3.4	1.7	3.1	54.0
Jay Huff	MEM	56	11.8	33	23	0.3	0.9	1.6	2.0	3.5	57.1
Jaylen Brown	BOS	54	35.1	38	16	1.2	0.3	4.7	1.5	2.3	65.6
Jaylen Clark	MIN	30	14.1	20	10	1.1	0.0	0.6	0.9	1.2	70.3
Jaylen Martin	WAS	9	8.9	2	7	0.2	0.0	1.6	0.4	0.7	66.7
Jaylen Nowell	NOP	8	21.0	1	7	0.1	0.5	1.8	1.9	2.4	78.9
Jaylen Wells	MEM	71	25.8	43	28	0.5	0.1	2.2	1.4	1.8	76.6
Jaylin Williams	OKC	40	16.9	33	7	0.4	0.6	4.7	1.4	2.4	60.6
Jaylon Tyson	CLE	42	8.8	34	8	0.2	0.0	1.2	0.6	0.9	73.0
Jayson Tatum	BOS	63	36.3	45	18	1.1	0.5	8.0	2.0	2.9	68.7
Jazian Gortman	DAL	16	3.5	8	8	0.1	0.1	0.3	0.2	0.3	75.0
Jeff Dowtin Jr.	PHI	37	13.9	9	28	0.5	0.2	1.2	0.8	0.9	84.8
Jeff Green	HOU	26	12.4	17	9	0.2	0.1	1.3	1.4	1.8	78.3
Jerami Grant	POR	47	32.4	22	25	0.9	1.0	2.9	1.6	2.5	63.8
Jeremiah Robinson-Earl	NOP	55	17.9	15	40	0.6	0.1	2.9	1.6	2.3	66.7
Jeremy Sochan	SAS	50	25.5	21	29	0.8	0.5	4.3	2.3	3.4	66.7
Jericho Sims	MIL	52	11.9	34	18	0.2	0.3	2.4	1.1	2.0	53.3
Jesse Edwards	MIN	2	2.3	2	0	0.0	0.0	0.0	0.5	0.5	100
Jett Howard	ORL	56	11.2	26	30	0.2	0.2	0.8	0.7	0.8	82.2
Jevon Carter	CHI	31	7.5	10	21	0.3	0.1	0.9	0.4	0.5	86.7
Jimmy Butler III	GSW	43	31.3	28	15	1.2	0.4	3.3	2.0	2.8	70.0
Jock Landale	HOU	35	10.8	22	13	0.2	0.3	1.8	1.5	2.2	66.7
Joe Ingles	MIN	19	6.0	12	7	0.1	0.0	0.5	0.2	0.2	100
Joel Embiid	PHI	19	30.2	8	11	0.7	0.9	6.3	3.2	5.2	61.2
John Collins	UTA	39	30.6	12	27	1.0	1.0	5.9	2.4	3.7	64.1
John Konchar	MEM	39	12.4	23	16	0.5	0.4	2.5	1.0	1.5	66.7
Johnny Davis	WAS	34	7.1	4	30	0.4	0.2	0.8	0.1	0.5	31.3
Johnny Furphy	IND	41	6.7	24	17	0.3	0.2	0.8	0.8	0.9	84.2
Johnny Juzang	UTA	54	18.6	14	40	0.5	0.1	2.2	1.6	2.2	73.9
Jonas Valančiūnas	SAC	69	20.0	18	51	0.5	0.7	5.7	2.7	3.9	68.0
Jonathan Isaac	ORL	61	15.7	28	33	0.9	1.1	2.8	1.2	2.5	48.4
Jonathan Kuminga	GSW	38	25.5	22	16	0.9	0.5	3.4	1.5	2.4	64.4
Jonathan Mogbo	TOR	52	18.4	12	40	0.8	0.5	2.7	1.7	2.6	65.7
Jordan Clarkson	UTA	37	26.0	10	27	0.8	0.2	2.5	1.8	2.5	70.7
Jordan Goodwin	LAL	16	22.0	10	6	1.3	0.6	2.8	2.5	2.9	85.1
Jordan Hawkins	NOP	53	23.4	17	36	0.6	0.4	2.4	2.1	2.9	72.4
Jordan McLaughlin	SAS	37	6.1	15	22	0.4	0.0	0.5	0.2	0.3	81.8
Jordan Miller	LAC	33	12.0	18	15	0.5	0.1	1.0	1.2	1.4	85.1
Jordan Poole	WAS	59	30.2	12	47	1.3	0.4	2.7	1.4	1.8	78.0
Jordan Walsh	BOS	43	7.9	32	11	0.2	0.2	0.8	0.5	0.9	52.5
Jose Alvarado	NOP	47	23.9	17	30	1.3	0.3	1.9	0.9	1.2	75.0
Josh Christopher	MIA	8	3.4	4	4	0.0	0.1	0.4	0.0	0.0	0.0
Josh Giddey	CHI	61	29.6	26	35	1.2	0.6	5.9	2.4	3.4	70.0
Josh Green	CHA	63	28.3	15	48	1.1	0.2	1.7	1.0	1.4	75.0
Josh Hart	NYK	67	37.7	42	25	1.5	0.4	7.5	3.4	4.8	71.1
Josh Minott	MIN	40	6.3	27	13	0.4	0.3	0.8	0.3	0.4	68.8
Josh Okogie	CHA	32	15.6	11	21	1.3	0.5	1.7	1.0	1.5	68.1
Josh Richardson	MIA	8	18.7	4	4	1.0	0.1	0.8	1.0	1.0	100
Jrue Holiday	BOS	53	30.5	38	15	1.1	0.5	3.1	1.5	2.1	70.8
Julian Champagnie	SAS	70	23.1	31	39	0.8	0.4	2.9	1.9	2.8	69.4
Julian Phillips	CHI	68	14.2	29	39	0.5	0.3	1.2	1.3	1.8	73.1
Julian Strawther	DEN	61	22.1	39	22	0.6	0.2	1.9	1.1	1.6	70.0
Julius Randle	MIN	59	32.1	36	23	0.7	0.2	4.8	2.4	3.6	67.0
Justin Champagnie	WAS	49	19.9	12	37	1.0	0.6	3.5	1.3	2.1	62.5
Justin Edwards	PHI	37	25.6	11	26	0.8	0.4	2.1	1.8	2.4	73.9
Justin Minaya	POR	10	2.5	4	6	0.1	0.0	0.2	0.3	0.6	50.0
Jusuf Nurkić	CHA	41	21.0	17	24	0.9	0.6	6.4	2.7	4.3	61.8
KJ Martin	UTA	38	21.1	11	27	0.4	0.6	2.3	1.1	2.2	50.0
KJ Simpson	CHA	25	21.0	2	23	0.8	0.2	1.6	1.2	1.4	80.6
Kai Jones	DAL	31	9.4	16	15	0.2	0.5	1.6	1.2	2.2	53.6
Karl-Anthony Towns	NYK	63	35.0	41	22	1.0	0.7	9.9	4.2	6.0	69.3
Karlo Matković	NOP	33	17.8	10	23	0.5	1.0	3.1	2.4	4.1	59.0
Kawhi Leonard	LAC	28	30.6	17	11	1.5	0.5	4.6	1.6	2.2	73.8
Keaton Wallace	ATL	27	16.7	12	15	0.8	0.3	1.1	0.8	1.1	73.3
Keegan Murray	SAC	66	34.7	32	34	0.8	0.8	4.8	2.4	4.0	59.3
Keion Brooks Jr.	NOP	4	13.1	0	4	0.0	0.8	2.0	1.3	2.3	55.6
Kel'el Ware	MIA	52	21.2	21	31	0.6	1.1	5.1	2.8	4.6	61.6
Keldon Johnson	SAS	67	23.7	29	38	0.7	0.3	3.3	1.7	2.4	69.6
Kelly Olynyk	NOP	37	19.4	10	27	0.7	0.4	3.2	2.0	3.1	62.9
Kelly Oubre Jr.	PHI	60	34.6	21	39	1.5	0.5	4.5	2.9	4.2	69.5
Kenrich Williams	OKC	57	15.4	48	9	0.6	0.1	2.4	0.8	1.1	69.2
Kentavious Caldwell-Pope	ORL	66	30.1	30	36	1.3	0.5	1.7	1.1	1.5	75.0
Keon Ellis	SAC	67	23.3	33	34	1.4	0.7	1.8	1.5	2.1	69.4
Keon Johnson	BKN	68	24.1	23	45	1.1	0.4	2.9	2.0	2.7	72.7
Keshad Johnson	MIA	10	5.7	5	5	0.1	0.4	1.5	0.8	1.4	57.1
Kessler Edwards	DAL	39	15.1	17	22	0.5	0.5	2.3	2.0	3.2	63.2
Kevin Durant	PHX	58	36.9	32	26	0.8	1.2	5.7	1.9	3.1	61.5
Kevin Huerter	CHI	58	23.4	29	29	1.0	0.4	2.6	1.3	2.0	65.0
Kevin Knox II	GSW	7	7.3	6	1	0.1	0.6	0.7	0.3	0.7	40.0
Kevin Love	MIA	23	10.9	13	10	0.7	0.2	3.1	1.5	2.2	66.7
Kevin Porter Jr.	MIL	62	18.5	36	26	1.0	0.2	2.9	1.1	1.7	68.0
Kevon Looney	GSW	63	15.3	37	26	0.7	0.5	3.7	1.5	2.6	55.8
Keyonte George	UTA	56	31.3	12	44	0.7	0.2	3.4	2.0	2.5	81.4
Khris Middleton	WAS	34	23.0	17	17	0.9	0.2	3.5	1.3	1.9	71.4
Killian Hayes	BKN	6	27.1	1	5	0.7	0.7	2.2	2.0	2.8	70.6
Klay Thompson	DAL	62	27.8	28	34	0.7	0.5	2.9	1.2	1.8	63.7
Kobe Brown	LAC	32	6.0	18	14	0.2	0.0	1.0	0.4	0.5	75.0
Kobe Bufkin	ATL	10	12.4	6	4	0.3	0.2	1.6	0.7	1.1	63.6
Kris Dunn	LAC	63	23.8	35	28	1.8	0.4	2.7	1.2	1.7	70.1
Kris Murray	POR	60	14.3	27	33	0.5	0.2	1.4	1.0	1.7	60.0
Kristaps Porziņģis	BOS	35	28.9	23	12	0.8	1.6	5.3	3.5	6.7	51.7
Kyle Anderson	MIA	50	14.9	23	27	0.6	0.5	2.3	1.2	1.8	66.7
Kyle Filipowski	UTA	61	19.8	12	49	0.6	0.2	4.2	2.8	4.0	69.6
Kyle Kuzma	MIL	52	29.7	17	35	0.6	0.2	5.3	1.4	2.2	64.3
Kyle Lowry	PHI	33	18.9	14	19	0.9	0.3	1.6	1.5	2.1	70.6
Kylor Kelley	DAL	8	8.3	3	5	0.0	0.3	1.6	1.9	2.6	71.4
Kyrie Irving	DAL	50	36.1	28	22	1.3	0.5	3.6	2.0	2.7	75.9
Kyshawn George	WAS	62	27.1	13	49	1.1	0.8	3.5	2.3	3.4	66.4
LaMelo Ball	CHA	46	32.1	16	30	1.2	0.3	4.0	1.1	1.6	70.8
Lamar Stevens	MEM	9	10.8	4	5	0.4	0.3	2.9	0.4	1.1	40.0
Landry Shamet	NYK	38	13.1	23	15	0.5	0.1	0.9	0.6	1.0	59.0
Larry Nance Jr.	ATL	24	19.3	10	14	0.8	0.5	3.3	1.4	2.2	64.2
Lauri Markkanen	UTA	46	31.4	9	37	0.7	0.3	4.4	1.8	2.9	62.7
LeBron James	LAL	58	34.8	37	21	0.9	0.6	7.1	1.9	2.8	67.1
Leonard Miller	MIN	10	2.7	8	2	0.2	0.1	0.8	0.3	0.3	100
Lester Quinones	NOP	4	4.2	1	3	0.0	0.0	0.3	0.3	0.5	50.0
Liam Robbins	MIL	13	4.4	8	5	0.2	0.2	0.4	0.2	0.3	50.0
Lindy Waters III	DET	46	14.9	25	21	0.5	0.2	1.8	0.8	1.2	69.1
Lonnie Walker IV	PHI	11	18.5	2	9	0.5	0.3	2.6	2.0	2.3	88.0
Lonzo Ball	CHI	35	22.2	16	19	1.3	0.5	2.7	1.4	2.3	61.7
Luguentz Dort	OKC	62	29.1	50	12	1.1	0.6	2.9	1.2	1.9	61.0
Luka Dončić	LAL	38	35.0	24	14	1.9	0.4	7.6	1.9	2.9	66.7
Luka Garza	MIN	34	6.2	24	10	0.2	0.1	0.6	0.9	1.4	65.2
Luke Kennard	MEM	56	22.8	33	23	0.8	0.1	2.2	1.0	1.3	80.6
Luke Kornet	BOS	61	17.9	43	18	0.5	1.0	2.7	2.2	4.0	54.1
Luke Travers	CLE	9	6.1	8	1	0.1	0.1	0.8	0.6	1.0	55.6
Mac McClung	ORL	2	5.1	1	1	0.0	0.0	0.5	0.5	0.5	100
Malachi Flynn	CHA	3	8.3	1	2	0.7	0.0	0.3	0.0	0.3	0.0
Malaki Branham	SAS	39	8.2	16	23	0.2	0.1	0.9	0.4	0.6	68.0
Malcolm Brogdon	WAS	24	23.5	6	18	0.5	0.2	2.9	1.7	2.0	85.1
Malevy Leons	OKC	6	3.5	6	0	0.0	0.0	0.3	0.2	0.3	50.0
Malik Beasley	DET	71	27.6	40	31	0.9	0.1	2.1	1.0	1.3	76.3
Malik Monk	SAC	57	32.7	31	26	1.0	0.6	3.3	1.5	2.4	64.4
MarJon Beauchamp	NYK	32	4.6	18	14	0.1	0.0	0.9	0.3	0.4	61.5
Marcus Garrett	CHA	4	19.8	1	3	0.8	0.5	1.3	0.5	0.5	100
Marcus Sasser	DET	50	13.4	27	23	0.6	0.1	0.8	0.6	0.8	78.9
Marcus Smart	WAS	29	20.6	16	13	1.2	0.3	1.6	0.4	0.8	59.1
Mark Williams	CHA	37	26.0	8	29	0.7	1.3	6.9	3.8	5.8	65.3
Markelle Fultz	SAC	13	7.4	6	7	0.5	0.1	0.4	0.5	0.7	66.7
Markieff Morris	LAL	14	9.4	7	7	0.1	0.1	1.1	0.6	1.0	57.1
Marvin Bagley III	MEM	26	8.3	5	21	0.3	0.3	1.3	0.7	1.3	52.9
Mason Jones	SAC	9	4.8	4	5	0.0	0.1	0.7	0.0	0.2	0.0
Mason Plumlee	PHX	68	17.7	32	36	0.4	0.6	4.6	2.3	3.8	59.8
Matas Buzelis	CHI	68	17.2	30	38	0.3	0.9	2.4	2.1	3.4	61.8
Matisse Thybulle	POR	5	15.2	4	1	2.2	0.6	2.8	0.6	0.6	100
Matt Ryan	NYK	19	3.6	14	5	0.1	0.0	0.4	0.2	0.3	60.0
Max Christie	DAL	67	27.3	35	32	0.8	0.4	2.8	2.0	3.0	67.2
Max Strus	CLE	42	25.0	32	10	0.6	0.2	3.3	1.4	2.0	70.7
Maxi Kleber	LAL	34	18.7	18	16	0.3	0.5	2.1	1.9	2.7	68.8
Maxwell Lewis	BKN	18	8.1	6	12	0.3	0.1	0.8	0.6	0.7	76.9
Micah Potter	UTA	33	17.7	9	24	0.3	0.3	3.0	2.1	3.4	61.9
Michael Porter Jr.	DEN	69	33.6	42	27	0.7	0.4	5.1	2.3	3.5	66.7
Mikal Bridges	NYK	70	37.6	44	26	1.0	0.5	2.3	1.7	2.9	61.0
Mike Conley	MIN	61	24.7	36	25	1.2	0.2	2.1	1.1	1.4	79.5
Miles Bridges	CHA	55	32.2	14	41	0.7	0.7	6.6	1.9	3.3	58.5
Miles McBride	NYK	59	24.9	37	22	0.9	0.3	1.8	1.4	2.2	66.1
Miles Norris	BOS	1	4.0	1	0	0.0	0.0	2.0	0.0	0.0	0.0
Mitchell Robinson	NYK	10	16.3	6	4	1.0	0.9	2.5	2.0	3.1	64.5
Mo Bamba	NOP	31	12.8	19	12	0.3	1.0	3.6	1.5	2.9	53.9
Monté Morris	PHX	41	12.9	21	20	0.4	0.1	1.2	0.6	0.8	70.6
Moritz Wagner	ORL	30	18.8	18	12	0.8	0.4	3.6	1.4	2.3	60.9
Moses Brown	DAL	13	9.1	5	8	0.5	0.3	2.5	1.6	2.8	58.3
Moses Moody	GSW	61	21.5	37	24	0.7	0.4	1.8	1.3	2.0	63.7
Mouhamed Gueye	ATL	22	15.9	9	13	0.9	1.0	2.5	0.9	1.5	58.8
Moussa Diabaté	CHA	61	17.5	13	48	0.7	0.6	3.5	2.3	3.7	62.4
Myles Turner	IND	61	30.6	36	25	0.8	1.9	5.3	4.4	7.5	58.0
N'Faly Dante	HOU	1	18.6	0	1	0.0	2.0	5.0	1.0	3.0	33.3
Nae'Qwan Tomlin	CLE	3	4.8	3	0	0.0	0.0	1.7	0.3	1.0	33.3
Naji Marshall	DAL	58	26.9	27	31	1.1	0.2	3.7	1.7	2.4	70.7
Nate Williams	HOU	13	6.1	10	3	0.3	0.2	0.5	0.3	0.5	57.1
Naz Reid	MIN	71	27.9	40	31	0.8	1.0	5.0	2.5	4.0	61.1
Neemias Queta	BOS	53	14.0	39	14	0.3	0.7	2.4	1.9	3.2	60.1
Nic Claxton	BKN	61	27.4	18	43	0.9	1.4	5.3	3.1	5.1	59.7
Nick Richards	PHX	49	22.0	16	33	0.2	1.1	5.9	3.3	5.9	55.0
Nick Smith Jr.	CHA	51	22.4	12	39	0.3	0.1	1.8	1.2	1.5	80.5
Nickeil Alexander-Walker	MIN	72	25.1	41	31	0.6	0.4	2.6	1.8	2.5	72.8
Nicolas Batum	LAC	69	17.8	39	30	0.7	0.5	2.2	1.2	2.0	57.9
Nikola Jokić	DEN	62	36.5	41	21	1.8	0.7	10.0	4.8	6.9	69.2
Nikola Jović	MIA	46	25.1	21	25	0.8	0.3	3.3	2.0	3.2	63.3
Nikola Vučević	CHI	63	31.7	26	37	0.8	0.7	7.8	4.4	6.4	68.8
Noah Clowney	BKN	42	22.7	10	32	0.5	0.5	2.9	2.1	3.5	58.8
Norman Powell	LAC	50	32.4	30	20	1.3	0.2	3.0	1.2	1.5	75.3
OG Anunoby	NYK	64	36.6	39	25	1.5	0.9	3.5	1.8	2.9	61.8
Obi Toppin	IND	66	19.5	39	27	0.6	0.3	3.3	1.6	2.4	67.9
Ochai Agbaji	TOR	57	27.0	15	42	0.8	0.5	2.8	1.7	2.8	60.5
Olivier-Maxence Prosper	DAL	52	11.2	27	25	0.5	0.1	1.6	0.9	1.3	65.2
Onyeka Okongwu	ATL	63	26.8	30	33	0.9	1.0	5.6	2.8	4.7	59.9
Orlando Robinson	TOR	34	15.9	17	17	0.4	0.3	2.7	1.9	3.4	56.0
Oscar Tshiebwe	UTA	8	14.8	2	6	0.8	0.0	5.5	1.1	1.5	75.0
Oshae Brissett	PHI	6	23.7	1	5	0.7	0.5	2.5	1.8	2.5	73.3
Oso Ighodaro	PHX	50	15.7	23	27	0.4	0.4	2.6	1.7	3.1	54.8
Ousmane Dieng	OKC	36	11.0	29	7	0.5	0.2	1.7	0.7	0.9	72.7
P.J. Tucker	NYK	1	1.8	0	1	0.0	0.0	0.0	0.0	0.0	0.0
P.J. Washington	DAL	50	32.5	28	22	1.2	1.1	6.5	2.7	4.6	59.0
PJ Dozier	MIN	9	3.9	7	2	0.1	0.0	0.4	0.4	0.6	80.0
PJ Hall	DEN	18	3.4	11	7	0.0	0.2	0.8	0.2	0.4	42.9
Pacome Dadiet	NYK	15	6.5	11	4	0.2	0.1	0.9	0.3	0.5	50.0
Paolo Banchero	ORL	36	34.1	13	23	0.8	0.7	6.1	2.9	4.2	69.1
Pascal Siakam	IND	68	33.0	40	28	0.9	0.5	5.4	2.7	4.1	64.9
Pat Connaughton	MIL	34	13.9	14	20	0.2	0.3	2.0	0.6	1.0	60.0
Pat Spencer	GSW	31	6.8	18	13	0.4	0.1	0.9	0.6	0.6	94.7
Patrick Baldwin Jr.	LAC	22	4.6	1	21	0.1	0.1	0.8	0.4	0.5	66.7
Patrick Williams	CHI	52	25.5	23	29	0.8	0.6	3.1	2.2	3.1	70.4
Patty Mills	LAC	25	11.9	8	17	0.5	0.1	0.7	0.4	0.6	78.6
Paul George	PHI	41	32.5	15	26	1.8	0.5	4.8	2.2	3.3	66.7
Paul Reed	DET	38	9.2	20	18	0.9	0.5	1.7	1.1	1.9	59.7
Payton Pritchard	BOS	68	28.3	49	19	0.9	0.2	2.4	1.0	1.4	74.7
Pelle Larsson	MIA	47	12.6	18	29	0.4	0.1	1.0	0.9	1.2	76.4
Pete Nance	MIL	9	8.6	5	4	0.1	0.0	0.9	0.7	0.8	85.7
Peyton Watson	DEN	59	23.6	35	24	0.8	1.2	2.6	1.6	2.8	56.4
Precious Achiuwa	NYK	47	20.5	30	17	0.8	0.7	3.7	2.2	3.7	61.0
Quentin Grimes	PHI	67	25.9	28	39	1.0	0.3	3.4	1.6	2.6	60.8
Quenton Jackson	IND	22	13.3	11	11	0.5	0.2	1.0	0.5	0.7	62.5
Quincy Olivari	LAL	2	5.2	1	1	0.0	0.0	0.0	0.5	0.5	100
