PLAYER	TEAM	GP	W	L	MIN	DREB	ContestedDreb	ContestedDREB%	DREBChances	DREBChance%	DeferredDREBChances	AdjustedDREBChance%	AVGDREBDistance
Tyler Kolek	NYK	10	8	2	9.2	1.3	0.2	15.4	2.2	59.1	0.1	61.9	13.1
Tyler Smith	MIL	10	6	4	6.3	1.6	0.4	25.0	1.8	88.9	0.1	94.1	5.8
Tyrese Haliburton	IND	63	38	25	33.9	3.0	0.5	15.3	4.6	66.0	0.3	70.6	9.8
Tyrese Martin	BKN	48	12	36	22.5	2.8	0.6	22.4	4.1	68.4	0.2	72.0	7.0
Tyrese Maxey	PHI	48	19	29	38.0	3.3	0.6	18.2	5.2	63.3	0.4	68.2	9.3
Tyus Jones	PHX	63	32	31	28.1	2.1	0.2	7.5	3.4	62.7	0.2	66.8	10.0
Ulrich Chomche	TOR	5	2	3	5.4	0.8	0.4	50.0	1.0	80.0	0.2	100	4.3
Vasilije Micić	PHX	29	7	22	22.7	2.3	0.3	13.2	3.8	62.4	0.2	66.0	8.6
Victor Wembanyama	SAS	46	21	25	33.2	9.2	3.0	32.5	14.2	64.7	1.3	71.5	4.5
Vince Williams Jr.	MEM	16	6	10	19.1	2.9	0.4	12.8	4.4	67.1	0.4	74.6	6.8
Vlatko Čančar	DEN	7	2	5	12.2	2.9	1.1	40.0	4.4	64.5	0.1	66.7	5.7
Vít Krejčí	ATL	38	21	17	23.0	2.7	0.4	15.5	4.7	57.9	0.5	64.4	7.8
Walker Kessler	UTA	54	14	40	30.1	7.7	2.6	33.4	12.7	60.6	1.6	69.2	4.5
Wendell Carter Jr.	ORL	57	23	34	25.8	5.3	1.8	33.6	8.8	60.2	0.9	67.5	5.1
Wendell Moore Jr.	CHA	22	5	17	16.8	2.5	0.5	21.8	3.5	72.4	0.1	75.3	6.9
Xavier Tillman	BOS	17	14	3	9.2	1.7	0.2	10.3	2.9	58.0	0.2	61.7	6.7
Yuki Kawamura	MEM	4	3	1	5.0	1.8	0.3	14.3	1.8	100	0.0	100	9.1
Yuri Collins	GSW	2	2	0	8.1	0.5	0.0	0.0	1.0	50.0	0.0	50.0	11.8
Yves Missi	NOP	65	17	48	26.9	4.6	1.3	29.0	9.1	50.8	1.0	57.0	4.5
Zaccharie Risacher	ATL	60	30	30	25.0	2.7	0.5	17.6	4.7	56.2	0.6	63.6	5.9
Zach Collins	CHI	47	23	24	16.0	2.8	1.2	43.8	5.1	53.7	0.6	60.7	4.6
Zach Edey	MEM	55	31	24	20.6	4.1	1.2	30.1	7.3	56.4	0.7	62.8	5.2
Zach LaVine	SAC	61	26	35	35.0	4.3	0.6	14.2	6.7	64.0	0.6	70.7	7.6
Zeke Nnaji	DEN	32	22	10	14.1	1.6	0.5	28.8	3.1	52.5	0.4	61.2	6.3
Ziaire Williams	BKN	52	19	33	25.3	3.9	0.8	21.3	5.5	70.6	0.4	76.5	6.0
Zion Williamson	NOP	29	10	19	28.6	4.8	1.5	30.7	6.8	70.7	0.4	75.3	6.2
