PLAYER	TEAM	GP	W	L	MIN	DREB	ContestedDreb	ContestedDREB%	DREBChances	DREBChance%	DeferredDREBChances	AdjustedDREBChance%	AVGDREBDistance
Georges Niang	ATL	64	48	16	22.1	3.2	0.9	28.5	6.0	53.9	0.7	60.9	6.4
Giannis Antetokounmpo	MIL	57	34	23	33.9	9.7	2.3	23.6	13.6	71.8	0.9	76.8	4.8
Goga Bitadze	ORL	58	29	29	21.6	4.5	1.6	35.1	7.6	59.3	0.9	67.2	4.4
Gradey Dick	TOR	53	15	38	29.3	2.8	0.6	22.1	4.8	58.9	0.5	65.4	8.5
Grant Williams	CHA	16	6	10	29.9	4.0	1.5	37.5	8.1	49.2	1.5	60.4	4.8
Grayson Allen	PHX	51	27	24	24.9	2.7	0.5	19.1	4.3	61.8	0.3	66.3	8.2
Guerschon Yabusele	PHI	65	23	42	26.7	3.7	1.0	27.9	7.7	48.2	0.9	54.8	5.6
Gui Santos	GSW	37	23	14	14.5	2.2	0.6	28.0	4.0	55.4	0.6	64.6	5.7
Harrison Barnes	SAS	68	29	39	27.2	2.6	0.7	28.2	4.5	56.5	0.5	63.0	7.5
Harrison Ingram	SAS	3	0	3	5.7	1.3	0.3	25.0	2.3	57.1	0.7	80.0	3.2
Haywood Highsmith	MIA	57	28	29	25.1	2.5	0.4	15.2	4.3	58.9	0.4	65.0	8.3
Herbert Jones	NOP	19	5	14	33.1	2.9	0.8	26.8	5.6	52.8	0.7	60.2	8.0
Hunter Tyson	DEN	31	19	12	9.9	1.6	0.5	34.7	2.5	63.6	0.2	68.1	6.5
Immanuel Quickley	TOR	26	8	18	28.8	3.4	0.5	15.7	5.7	60.1	0.7	69.0	7.6
Isaac Jones	SAC	18	5	13	11.4	1.6	0.7	42.9	3.1	50.9	0.6	62.2	3.8
Isaac Okoro	CLE	36	31	5	19.7	1.6	0.5	29.8	3.2	49.1	0.4	55.3	11.4
Isaiah Collier	UTA	59	13	46	26.2	3.1	0.4	11.4	5.1	61.1	0.6	68.7	8.8
Isaiah Crawford	SAC	6	3	3	4.8	1.2	0.3	28.6	1.7	70.0	0.0	70.0	4.4
Isaiah Hartenstein	OKC	49	43	6	28.3	8.1	2.7	33.8	12.6	64.4	1.2	71.4	5.1
Isaiah Jackson	IND	5	1	4	16.8	3.4	1.4	41.2	7.4	45.9	1.4	56.7	4.8
Isaiah Joe	OKC	59	50	9	21.6	2.2	0.4	19.8	4.3	51.2	0.6	59.0	8.5
Isaiah Stewart	DET	64	35	29	20.0	3.8	1.0	26.6	7.0	53.9	0.9	61.8	5.1
Isaiah Wong	CHA	14	2	12	14.1	1.3	0.4	33.3	2.4	54.5	0.4	64.3	11.6
Ivica Zubac	LAC	69	40	29	32.7	8.8	3.0	34.3	14.0	63.0	1.1	68.2	4.6
JD Davison	BOS	5	5	0	5.2	1.2	0.2	16.7	1.4	85.7	0.0	85.7	9.1
JT Thor	WAS	6	4	2	10.8	1.0	0.7	66.7	2.2	46.2	0.7	66.7	4.9
Ja Morant	MEM	40	28	12	30.1	3.7	0.6	15.1	6.7	54.7	0.7	61.3	7.5
Ja'Kobe Walter	TOR	40	14	26	20.6	2.1	0.5	21.7	3.7	55.7	0.4	62.9	9.2
Jabari Smith Jr.	HOU	49	33	16	30.4	4.8	1.1	24.0	7.9	60.2	0.9	67.5	5.1
Jabari Walker	POR	45	17	28	12.9	2.8	0.9	33.1	4.2	67.9	0.3	73.0	4.4
Jack McVeigh	HOU	2	1	1	5.0	1.5	1.0	66.7	3.0	50.0	0.5	60.0	6.9
Jackson Rowe	GSW	4	2	2	10.4	2.0	0.3	12.5	3.0	66.7	0.3	72.7	7.6
Jacob Toppin	ATL	9	7	2	3.8	1.0	0.3	33.3	1.3	75.0	0.1	81.8	4.3
Jaden Hardy	DAL	34	16	18	17.6	1.9	0.4	19.7	3.1	61.7	0.3	68.8	9.8
Jaden Ivey	DET	29	14	15	30.4	2.9	0.3	11.9	5.2	55.6	0.4	60.4	10.2
Jaden McDaniels	MIN	70	40	30	32.4	4.5	1.3	28.2	7.1	62.9	0.7	69.3	6.1
Jaden Springer	UTA	18	9	9	8.3	1.3	0.5	39.1	2.2	59.0	0.1	62.2	7.0
Jae Crowder	SAC	6	2	4	14.8	1.8	0.3	18.2	2.5	73.3	0.5	91.7	4.7
Jae'Sean Tate	HOU	38	27	11	13.1	1.6	0.4	25.8	3.0	54.9	0.4	63.9	6.2
Jahlil Okafor	IND	1	0	1	3.4	1.0	1.0	100	1.0	100	0.0	100	4.4
Jahmir Young	CHI	1	0	1	2.4	1.0	0.0	0.0	1.0	100	0.0	100	10.9
Jaime Jaquez Jr.	MIA	56	24	32	22.0	3.3	0.8	24.5	5.4	61.1	0.7	70.5	5.8
Jake LaRavia	SAC	61	38	23	20.8	2.7	0.5	18.2	4.7	57.1	0.5	63.2	6.2
Jakob Poeltl	TOR	52	19	33	29.9	6.3	2.5	39.1	10.8	58.7	1.1	65.6	4.8
Jalen Bridges	PHX	2	0	2	5.4	1.5	0.5	33.3	1.5	100	0.0	100	15.7
Jalen Brunson	NYK	59	38	21	35.4	2.5	0.3	13.3	4.4	57.5	0.4	63.0	9.5
Jalen Duren	DET	67	39	28	26.1	6.9	1.8	26.5	11.1	61.7	1.1	68.6	4.0
Jalen Green	HOU	70	45	25	33.8	4.1	0.9	21.8	6.5	62.7	0.5	67.9	6.9
Jalen Hood-Schifino	PHI	6	2	4	22.3	1.7	0.2	10.0	3.5	47.6	0.5	55.6	9.1
Jalen Johnson	ATL	36	18	18	35.7	8.3	1.9	22.6	12.3	67.3	1.0	73.2	4.9
Jalen Pickett	DEN	26	18	8	14.8	1.4	0.3	18.9	2.3	60.7	0.2	67.3	9.3
Jalen Smith	CHI	57	23	34	15.0	4.2	1.5	35.9	6.8	61.1	0.6	67.3	4.3
Jalen Suggs	ORL	34	19	15	29.2	3.5	0.7	20.3	5.9	59.3	0.2	61.8	7.7
Jalen Williams	OKC	60	48	12	32.5	4.7	0.8	16.8	8.1	57.6	0.7	63.0	6.6
Jalen Wilson	BKN	65	22	43	26.2	2.4	0.6	26.1	4.6	52.7	0.6	60.4	7.5
Jamal Cain	NOP	20	2	18	14.0	1.7	0.2	8.8	3.0	56.7	0.3	63.0	7.8
Jamal Murray	DEN	60	37	23	36.7	3.3	0.7	19.9	5.9	55.5	0.6	61.8	8.3
Jamal Shead	TOR	45	15	30	19.8	1.4	0.2	12.5	2.6	55.7	0.2	60.4	11.6
James Harden	LAC	68	40	28	35.1	5.1	0.9	17.7	7.9	65.5	0.6	70.9	7.7
James Johnson	IND	4	1	3	4.1	1.5	0.3	16.7	1.8	85.7	0.0	85.7	6.0
James Wiseman	IND	1	1	0	4.6	1.0	1.0	100	3.0	33.3	0.0	33.3	1.1
Jamison Battle	TOR	39	13	26	16.4	1.9	0.4	23.3	3.4	55.7	0.3	60.8	6.8
Jarace Walker	IND	50	28	22	16.9	3.1	0.7	21.0	4.5	69.8	0.3	74.8	5.8
Jared Butler	PHI	30	3	27	17.9	2.1	0.3	14.1	3.7	57.7	0.5	66.7	10.5
Jared McCain	PHI	21	6	15	25.5	2.0	0.5	25.6	4.2	48.3	0.2	51.2	7.1
Jared Rhoden	TOR	7	5	2	18.1	2.4	0.6	23.5	3.3	73.9	0.1	77.3	7.0
Jaren Jackson Jr.	MEM	62	38	24	29.9	4.5	1.4	31.2	8.2	55.1	0.8	61.5	6.4
Jarred Vanderbilt	LAL	24	18	6	16.2	3.2	0.7	22.4	5.1	62.3	0.5	68.5	5.7
Jarrett Allen	CLE	71	57	14	28.6	7.4	2.1	28.5	11.2	65.4	1.1	72.3	4.7
Javonte Green	CLE	54	15	39	21.1	2.6	0.7	28.6	4.9	52.6	0.5	58.6	6.7
Jaxson Hayes	LAL	44	30	14	19.8	3.5	1.2	34.6	6.1	56.7	0.7	63.8	5.8
Jay Huff	MEM	46	30	16	13.5	2.0	0.7	36.7	4.7	41.3	0.8	49.2	4.9
Jaylen Brown	BOS	54	38	16	35.1	4.7	1.2	26.5	7.3	63.9	0.7	70.9	6.8
Jaylen Clark	MIN	20	13	7	16.6	0.9	0.3	33.3	1.8	50.0	0.2	56.3	7.2
Jaylen Martin	WAS	5	0	5	14.7	2.8	0.4	14.3	3.4	82.4	0.0	82.4	5.4
Jaylen Nowell	NOP	5	1	4	26.0	2.8	0.2	7.1	5.4	51.9	0.2	53.8	9.4
Jaylen Wells	MEM	64	40	24	26.0	2.4	0.2	9.1	4.1	59.0	0.5	68.1	8.2
Jaylin Williams	OKC	39	32	7	17.1	4.8	1.6	34.4	7.4	64.8	0.7	71.5	5.0
Jaylon Tyson	CLE	28	23	5	11.1	1.8	0.3	14.3	2.7	65.3	0.2	70.0	6.3
Jayson Tatum	BOS	62	44	18	36.3	8.1	1.6	19.4	11.3	71.4	0.7	75.9	5.3
Jazian Gortman	DAL	4	2	2	8.4	1.0	0.0	0.0	1.3	80.0	0.0	80.0	7.8
Jeff Dowtin Jr.	PHI	28	6	22	16.4	1.6	0.3	17.4	2.5	65.7	0.1	67.6	8.4
Jeff Green	HOU	18	13	5	15.2	1.9	0.5	25.7	3.1	62.5	0.1	63.6	7.2
Jerami Grant	POR	44	20	24	32.9	3.1	0.6	20.4	5.2	60.1	0.4	64.6	8.5
Jeremiah Robinson-Earl	NOP	52	15	37	18.7	3.1	0.7	23.0	5.4	57.1	0.5	62.6	5.3
Jeremy Sochan	SAS	49	21	28	25.5	4.4	1.3	30.7	7.2	60.9	0.9	69.6	5.3
Jericho Sims	MIL	44	30	14	13.5	2.8	1.1	40.3	4.8	58.8	0.5	64.9	4.9
Jett Howard	ORL	33	14	19	13.7	1.4	0.3	24.4	2.2	63.4	0.2	68.2	9.3
Jevon Carter	CHI	17	6	11	9.8	1.6	0.2	11.1	2.4	65.9	0.1	67.5	10.4
Jimmy Butler III	GSW	42	28	14	31.9	3.3	0.6	17.1	5.4	62.2	0.7	71.4	7.1
Jock Landale	HOU	32	19	13	11.3	2.0	0.8	40.6	3.4	58.2	0.3	64.0	5.6
Joe Ingles	MIN	7	4	3	10.8	1.3	0.0	0.0	2.0	64.3	0.3	75.0	7.8
Joel Embiid	PHI	19	8	11	30.2	6.3	2.1	32.8	10.8	58.0	1.1	64.3	5.6
John Collins	UTA	39	12	27	30.6	5.9	1.7	28.4	9.4	62.4	1.1	70.2	4.9
John Konchar	MEM	31	19	12	14.9	3.1	0.7	23.7	4.9	63.4	0.3	67.4	5.5
Johnny Davis	WAS	19	1	18	9.5	1.5	0.3	21.4	2.5	59.6	0.1	62.2	7.6
Johnny Furphy	IND	19	7	12	10.4	1.6	0.5	32.3	2.4	67.4	0.3	75.6	6.6
Johnny Juzang	UTA	48	11	37	19.4	2.5	0.4	17.5	4.5	55.0	0.4	59.7	7.5
Jonas Valančiūnas	SAC	69	18	51	20.0	5.7	1.6	28.7	8.8	65.2	1.0	74.1	3.9
Jonathan Isaac	ORL	61	28	33	15.7	2.8	1.0	34.3	5.1	55.7	0.6	63.2	4.4
Jonathan Kuminga	GSW	38	22	16	25.5	3.4	0.7	20.0	5.6	61.6	0.4	67.0	5.8
Jonathan Mogbo	TOR	49	11	38	19.2	2.8	0.7	24.5	5.0	56.7	0.6	64.4	5.9
Jordan Clarkson	UTA	33	9	24	26.7	2.8	0.4	15.1	4.7	60.0	0.6	68.4	9.1
Jordan Goodwin	LAL	16	10	6	22.0	2.8	0.7	24.4	5.6	50.6	0.4	54.9	6.7
Jordan Hawkins	NOP	47	17	30	24.3	2.6	0.5	17.7	4.9	54.1	0.5	60.8	8.5
Jordan McLaughlin	SAS	15	8	7	10.5	1.3	0.3	25.0	2.1	64.5	0.2	71.4	12.2
Jordan Miller	LAC	19	8	11	16.8	1.8	0.5	26.5	3.4	52.3	0.3	56.7	7.5
Jordan Poole	WAS	55	11	44	30.3	2.9	0.4	13.7	4.5	64.7	0.3	68.5	9.9
Jordan Walsh	BOS	24	19	5	10.1	1.5	0.5	30.6	2.7	55.4	0.1	58.1	5.7
Jose Alvarado	NOP	37	14	23	24.9	2.4	0.3	11.4	4.2	57.1	0.4	63.3	10.1
Josh Christopher	MIA	2	0	2	3.0	1.5	0.0	0.0	1.5	100	0.0	100	8.0
Josh Giddey	CHI	61	26	35	29.6	5.9	1.1	18.6	9.2	64.4	0.9	71.4	5.5
Josh Green	CHA	57	14	43	28.7	1.9	0.2	11.8	3.6	53.9	0.4	61.5	9.5
Josh Hart	NYK	66	41	25	37.9	7.6	2.0	26.3	12.0	62.8	1.0	68.4	5.9
Josh Minott	MIN	18	13	5	8.4	1.8	0.6	34.4	2.6	68.1	0.2	72.7	6.4
Josh Okogie	CHA	25	8	17	18.3	2.2	0.3	14.5	3.8	57.9	0.4	64.0	8.6
Josh Richardson	MIA	6	3	3	21.2	1.0	0.2	16.7	1.7	60.0	0.0	60.0	10.1
Jrue Holiday	BOS	52	37	15	30.4	3.1	0.8	25.2	5.8	54.0	0.7	61.3	8.0
Julian Champagnie	SAS	66	30	36	23.6	3.1	0.6	20.7	4.8	64.0	0.3	68.8	7.2
Julian Phillips	CHI	55	24	31	15.5	1.5	0.4	25.6	2.7	56.2	0.3	64.6	7.3
Julian Strawther	DEN	50	36	14	23.3	2.3	0.7	29.6	4.4	52.8	0.5	59.0	7.8
Julius Randle	MIN	59	36	23	32.1	4.8	1.2	23.8	8.6	56.4	1.2	65.9	5.6
Justin Champagnie	WAS	45	11	34	21.4	3.8	1.2	32.4	5.7	66.1	0.4	70.8	5.4
Justin Edwards	PHI	34	10	24	27.3	2.3	0.6	24.7	3.9	58.8	0.3	63.1	7.9
Justin Minaya	POR	3	1	2	3.4	0.7	0.0	0.0	1.3	50.0	0.0	50.0	8.4
Jusuf Nurkić	CHA	41	17	24	21.0	6.4	1.9	28.8	9.7	66.5	0.7	71.7	4.4
KJ Martin	UTA	33	11	22	23.2	2.6	0.6	23.0	4.5	58.0	0.5	65.4	6.8
KJ Simpson	CHA	20	1	19	22.8	2.1	0.6	29.3	3.9	53.2	0.4	59.4	9.6
Kai Jones	DAL	23	10	13	11.2	2.2	0.7	33.3	4.0	54.8	0.8	68.9	5.3
Karl-Anthony Towns	NYK	62	40	22	35.1	10.0	3.2	32.1	14.4	69.2	1.2	75.4	4.7
Karlo Matković	NOP	32	10	22	18.2	3.2	1.1	35.3	6.3	50.5	1.0	60.4	5.0
Kawhi Leonard	LAC	28	17	11	30.6	4.6	1.0	22.5	6.9	66.8	0.5	72.5	6.9
Keaton Wallace	ATL	19	9	10	20.3	1.6	0.4	25.8	3.4	47.7	0.4	54.4	7.8
Keegan Murray	SAC	66	32	34	34.7	4.8	1.4	28.1	8.0	60.8	0.9	68.7	7.0
Keion Brooks Jr.	NOP	3	0	3	16.6	2.7	0.3	12.5	4.3	61.5	0.3	66.7	8.4
Kel'el Ware	MIA	47	18	29	22.4	5.6	1.9	33.2	9.2	61.5	1.0	69.4	4.2
Keldon Johnson	SAS	66	29	37	23.8	3.3	0.8	23.4	6.0	55.3	0.7	62.1	5.8
Kelly Olynyk	NOP	36	10	26	19.8	3.3	0.7	20.2	5.6	58.6	0.7	66.5	5.9
Kelly Oubre Jr.	PHI	60	21	39	34.6	4.5	0.8	17.0	7.7	58.8	0.7	65.0	5.9
Kenrich Williams	OKC	49	42	7	16.4	2.7	0.7	26.3	4.7	57.3	0.5	64.6	5.9
Kentavious Caldwell-Pope	ORL	61	27	34	30.3	1.9	0.5	27.8	3.5	54.0	0.5	62.2	9.2
Keon Ellis	SAC	58	30	28	24.4	2.1	0.4	17.1	3.7	56.7	0.3	61.8	8.6
Keon Johnson	BKN	64	22	42	24.7	3.1	0.6	18.8	5.0	61.4	0.5	68.9	7.5
Keshad Johnson	MIA	7	4	3	6.7	2.1	0.6	26.7	3.0	71.4	0.1	75.0	7.5
Kessler Edwards	DAL	28	10	18	20.5	3.2	1.0	32.6	5.7	56.0	0.5	61.0	5.3
Kevin Durant	PHX	58	32	26	36.9	5.7	1.6	27.9	8.1	70.4	0.5	74.7	6.7
Kevin Huerter	CHI	53	27	26	24.1	2.8	0.5	18.9	4.5	61.7	0.4	68.2	7.8
Kevin Knox II	GSW	7	6	1	7.3	0.7	0.0	0.0	1.3	55.6	0.0	55.6	11.0
Kevin Love	MIA	19	11	8	12.4	3.8	1.0	26.4	5.8	64.9	0.7	74.2	3.9
Kevin Porter Jr.	MIL	53	30	23	19.2	3.4	1.0	28.9	5.3	63.6	0.4	69.2	6.6
Kevon Looney	GSW	62	37	25	15.5	3.8	1.2	31.2	6.0	62.7	0.6	69.6	5.0
Keyonte George	UTA	56	12	44	31.3	3.4	0.4	12.7	5.6	60.4	0.6	68.2	8.1
Khris Middleton	WAS	33	17	16	23.0	3.6	0.5	15.1	5.3	68.4	0.3	73.0	6.8
Killian Hayes	BKN	6	1	5	27.1	2.2	0.5	23.1	4.0	54.2	0.0	54.2	7.2
Klay Thompson	DAL	59	25	34	27.9	3.1	0.5	15.4	5.4	57.4	0.7	65.9	7.4
Kobe Brown	LAC	21	12	9	7.3	1.5	0.4	25.8	2.2	67.4	0.1	72.1	5.5
Kobe Bufkin	ATL	9	5	4	12.3	1.8	0.2	12.5	2.3	76.2	0.1	80.0	9.8
Kris Dunn	LAC	62	34	28	23.7	2.7	0.7	25.6	5.3	50.9	0.6	57.5	6.2
Kris Murray	POR	51	22	29	16.0	1.7	0.4	24.7	2.8	59.4	0.3	65.4	8.9
Kristaps Porziņģis	BOS	34	22	12	28.7	5.3	1.8	34.4	9.3	57.1	1.0	64.1	5.1
Kyle Anderson	MIA	46	22	24	15.9	2.5	0.7	28.9	4.1	60.0	0.4	66.3	6.3
Kyle Filipowski	UTA	59	12	47	20.4	4.3	1.2	26.6	6.6	66.0	0.5	71.7	4.7
Kyle Kuzma	MIL	52	17	35	29.7	5.3	1.0	18.9	7.5	70.7	0.5	76.0	6.4
Kyle Lowry	PHI	29	13	16	19.2	1.9	0.3	16.7	3.6	51.9	0.3	57.4	9.3
Kylor Kelley	DAL	6	2	4	10.6	2.2	1.2	53.8	3.3	65.0	0.3	72.2	5.2
Kyrie Irving	DAL	50	28	22	36.1	3.6	0.4	12.2	6.0	60.2	0.6	66.4	9.4
Kyshawn George	WAS	61	13	48	27.2	3.5	0.8	21.8	6.1	58.4	0.3	61.9	7.3
LaMelo Ball	CHA	45	16	29	32.6	4.1	0.7	16.3	6.3	65.0	0.4	68.9	8.4
Lamar Stevens	MEM	8	4	4	12.0	3.3	1.0	30.8	4.6	70.3	0.1	72.2	5.1
Landry Shamet	NYK	25	16	9	14.8	1.3	0.4	30.3	2.3	57.9	0.2	63.5	10.1
Larry Nance Jr.	ATL	23	10	13	19.8	3.5	0.7	21.3	5.8	59.7	0.6	66.1	6.0
Lauri Markkanen	UTA	46	9	37	31.4	4.4	1.1	24.6	6.9	63.8	0.7	70.5	6.3
LeBron James	LAL	58	37	21	34.8	7.1	1.6	22.9	10.0	71.0	0.5	74.9	6.1
Leonard Miller	MIN	7	6	1	3.1	1.1	0.1	12.5	1.3	88.9	0.0	88.9	3.4
Lester Quinones	NOP	3	0	3	4.5	0.3	0.0	0.0	0.3	100	0.0	100	10.6
Liam Robbins	MIL	7	4	3	6.0	0.7	0.1	20.0	1.7	41.7	0.4	55.6	5.5
Lindy Waters III	DET	33	16	17	17.9	2.5	0.5	19.5	3.8	65.1	0.4	71.9	7.6
Lonnie Walker IV	PHI	9	1	8	20.7	3.2	1.1	34.5	4.2	76.3	0.0	76.3	6.2
Lonzo Ball	CHI	35	16	19	22.2	2.7	0.8	29.0	4.6	58.1	0.4	63.7	7.3
Luguentz Dort	OKC	60	48	12	29.3	3.0	0.8	27.1	5.2	56.5	0.5	63.0	7.0
Luka Dončić	LAL	38	24	14	35.0	7.6	1.7	22.2	11.7	64.7	0.8	69.6	5.7
Luka Garza	MIN	22	13	9	7.2	1.0	0.4	42.9	1.9	51.2	0.2	56.8	4.9
Luke Kennard	MEM	51	30	21	22.7	2.4	0.3	12.3	4.5	53.5	0.4	58.7	7.7
Luke Kornet	BOS	59	42	17	18.2	2.8	1.3	45.4	5.0	54.9	0.7	64.2	5.5
Luke Travers	CLE	7	7	0	7.5	1.0	0.0	0.0	2.1	46.7	0.3	53.8	4.3
Mac McClung	ORL	1	0	1	4.9	1.0	0.0	0.0	2.0	50.0	0.0	50.0	4.0
Malachi Flynn	CHA	1	1	0	14.7	1.0	0.0	0.0	6.0	16.7	1.0	20.0	8.9
Malaki Branham	SAS	22	12	10	10.4	1.6	0.1	8.3	2.6	62.1	0.4	72.0	7.4
Malcolm Brogdon	WAS	23	6	17	23.9	3.0	0.6	20.0	4.6	66.7	0.5	74.5	7.4
Malevy Leons	OKC	3	3	0	3.5	0.7	0.0	0.0	0.7	100	0.0	100	5.2
Malik Beasley	DET	62	36	26	27.8	2.4	0.3	14.0	3.5	68.5	0.3	75.0	9.7
Malik Monk	SAC	55	31	24	32.9	3.5	0.6	16.8	5.8	59.6	0.5	65.1	7.9
MarJon Beauchamp	NYK	20	10	10	6.0	1.5	0.4	24.1	1.7	85.3	0.1	87.9	6.2
Marcus Garrett	CHA	4	1	3	19.8	1.3	0.5	40.0	3.8	33.3	0.8	41.7	6.0
Marcus Sasser	DET	29	14	15	14.6	1.4	0.2	12.2	2.1	66.1	0.1	68.3	13.3
Marcus Smart	WAS	25	13	12	21.4	1.9	0.5	25.5	3.6	52.8	0.3	58.0	8.7
Mark Williams	CHA	37	8	29	26.0	6.9	2.1	31.1	10.5	65.5	1.0	72.6	4.9
Markelle Fultz	SAC	6	4	2	10.1	0.8	0.3	40.0	1.2	71.4	0.2	83.3	10.0
Markieff Morris	LAL	9	5	4	11.5	1.7	0.4	26.7	2.7	62.5	0.2	68.2	4.4
Marvin Bagley III	MEM	22	5	17	9.1	1.6	0.5	28.6	2.9	55.6	0.3	61.4	3.8
Mason Jones	SAC	3	1	2	7.9	2.0	0.7	33.3	2.3	85.7	0.0	85.7	6.6
Mason Plumlee	PHX	66	32	34	18.1	4.8	1.7	36.1	7.7	62.0	0.8	69.5	4.2
Matas Buzelis	CHI	62	26	36	18.1	2.6	0.6	24.4	4.7	56.4	0.4	61.4	6.6
Matisse Thybulle	POR	5	4	1	15.2	2.8	1.0	35.7	4.2	66.7	0.6	77.8	9.8
Matt Ryan	NYK	8	5	3	3.6	1.0	0.3	25.0	1.0	100	0.0	100	4.5
Max Christie	DAL	62	32	30	28.4	3.0	0.7	22.7	5.2	57.6	0.6	65.4	6.8
Max Strus	CLE	41	31	10	25.1	3.4	0.6	18.7	5.5	61.5	0.6	68.8	7.1
Maxi Kleber	LAL	31	17	14	19.0	2.3	0.9	38.6	4.5	49.6	0.6	57.9	6.2
Maxwell Lewis	BKN	11	2	9	11.4	1.4	0.5	33.3	2.3	60.0	0.4	71.4	5.7
Micah Potter	UTA	30	8	22	18.5	3.3	0.7	21.0	5.8	57.1	0.5	62.5	5.5
Michael Porter Jr.	DEN	67	42	25	33.6	5.2	1.1	21.7	8.3	62.1	1.0	70.9	5.5
Mikal Bridges	NYK	66	42	24	37.8	2.5	0.6	24.7	4.0	61.8	0.3	66.9	8.6
Mike Conley	MIN	53	32	21	25.2	2.4	0.3	13.4	4.0	59.9	0.4	66.8	10.2
Miles Bridges	CHA	55	14	41	32.2	6.6	1.9	28.8	10.2	65.3	0.7	70.3	5.4
Miles McBride	NYK	51	32	19	25.6	2.0	0.4	20.4	4.5	44.6	0.5	50.5	9.9
Miles Norris	BOS	1	1	0	4.0	2.0	1.0	50.0	4.0	50.0	0.0	50.0	2.9
Mitchell Robinson	NYK	9	5	4	16.8	2.3	0.8	33.3	4.3	53.8	0.3	58.3	5.2
Mo Bamba	NOP	29	19	10	13.0	3.8	1.1	29.7	5.8	65.7	0.4	71.2	4.2
Monté Morris	PHX	25	12	13	14.8	1.9	0.3	16.7	3.1	61.5	0.3	67.6	9.3
Moritz Wagner	ORL	28	17	11	19.4	3.9	1.0	26.9	6.3	61.7	0.8	71.1	4.6
Moses Brown	DAL	10	5	5	11.2	3.2	1.0	31.3	5.1	62.7	0.6	71.1	3.0
Moses Moody	GSW	55	33	22	22.5	2.0	0.6	28.6	4.0	50.5	0.6	58.6	6.8
Mouhamed Gueye	ATL	21	9	12	16.5	2.6	1.0	37.0	4.6	55.7	0.7	65.1	6.8
Moussa Diabaté	CHA	59	12	47	17.9	3.6	1.1	29.6	6.2	58.7	0.8	67.8	4.4
Myles Turner	IND	60	35	25	31.0	5.4	2.3	41.8	10.9	49.6	1.3	56.2	4.8
N'Faly Dante	HOU	1	0	1	18.6	5.0	3.0	60.0	10.0	50.0	0.0	50.0	4.0
Nae'Qwan Tomlin	CLE	3	3	0	4.8	1.7	0.0	0.0	1.7	100	0.0	100	5.6
Naji Marshall	DAL	56	25	31	27.3	3.8	1.0	25.7	6.5	59.1	0.7	66.3	6.4
Nate Williams	HOU	5	3	2	11.2	1.2	0.0	0.0	2.2	54.5	0.2	60.0	6.6
Naz Reid	MIN	71	40	31	27.9	5.0	1.5	31.1	8.5	58.7	0.9	66.0	5.3
Neemias Queta	BOS	44	33	11	16.3	2.9	1.1	36.7	5.5	52.7	0.6	59.3	4.7
Nic Claxton	BKN	61	18	43	27.4	5.3	1.8	33.5	8.9	59.9	0.8	65.4	3.8
Nick Richards	PHX	49	16	33	22.0	5.9	1.9	31.6	10.0	59.6	1.1	67.2	4.3
Nick Smith Jr.	CHA	42	11	31	24.9	2.2	0.1	5.4	4.1	54.4	0.5	61.6	7.4
Nickeil Alexander-Walker	MIN	69	39	30	25.1	2.7	0.6	23.1	4.7	57.4	0.4	62.4	9.2
Nicolas Batum	LAC	62	37	25	18.6	2.4	0.7	30.7	4.1	58.6	0.5	67.0	6.7
Nikola Jokić	DEN	62	41	21	36.5	10.0	3.6	36.6	15.3	65.2	1.5	72.1	4.5
Nikola Jović	MIA	46	21	25	25.1	3.3	0.9	26.0	5.7	59.0	0.5	65.0	6.2
Nikola Vučević	CHI	63	26	37	31.7	7.8	2.5	31.5	11.5	67.7	0.8	72.6	5.0
Noah Clowney	BKN	42	10	32	22.7	2.9	0.8	28.1	5.3	54.3	0.6	61.7	6.3
Norman Powell	LAC	49	29	20	32.5	3.1	0.8	25.2	4.7	65.4	0.4	71.2	8.3
OG Anunoby	NYK	62	38	24	36.7	3.5	1.2	33.2	6.5	54.6	0.7	61.3	6.2
Obi Toppin	IND	64	37	27	19.8	3.5	0.7	19.9	5.6	61.4	0.5	68.0	5.1
Ochai Agbaji	TOR	52	14	38	28.0	3.1	0.5	14.9	5.2	59.2	0.5	65.7	8.9
Olivier-Maxence Prosper	DAL	44	23	21	12.7	1.9	0.4	20.7	3.3	55.8	0.4	62.6	7.7
Onyeka Okongwu	ATL	63	30	33	26.8	5.6	1.6	28.7	8.7	64.4	0.7	69.8	4.9
Orlando Robinson	TOR	29	15	14	18.1	3.1	1.1	34.1	5.7	54.8	0.7	62.3	5.3
Oscar Tshiebwe	UTA	8	2	6	14.8	5.5	1.6	29.5	7.6	72.1	0.4	75.9	4.3
Oshae Brissett	PHI	6	1	5	23.7	2.5	0.3	13.3	5.7	44.1	0.2	45.5	5.5
Oso Ighodaro	PHX	46	23	23	16.7	2.8	0.8	27.1	5.0	56.3	0.5	63.2	5.6
Ousmane Dieng	OKC	31	24	7	12.0	2.0	0.4	19.4	3.1	64.6	0.3	70.5	7.1
P.J. Washington	DAL	50	28	22	32.5	6.5	2.0	30.3	10.2	63.3	0.7	67.7	5.7
PJ Dozier	MIN	3	2	1	4.3	1.3	0.0	0.0	1.3	100	0.0	100	9.5
PJ Hall	DEN	12	8	4	3.8	1.2	0.4	35.7	1.8	66.7	0.1	70.0	3.9
